Gene stable ID,AFFY Drosophila 2 probe
FBgn0267348,1632666_at
FBgn0014028,1640632_at
FBgn0027932,1640838_s_at
FBgn0053461,1640757_at
FBgn0039872,1633002_at
FBgn0031182,1626689_at
FBgn0034382,1640006_at
FBgn0035695,1632500_at
FBgn0261244,1627706_a_at
FBgn0034086,1637429_at
FBgn0035210,1623468_at
FBgn0270926,1633765_at
FBgn0011291,1636486_at
FBgn0032789,1641113_at
FBgn0083972,1626759_at
FBgn0000092,1638856_at
FBgn0035173,1630968_at
FBgn0065064,1625889_at
FBgn0029785,1635917_at
FBgn0003997,1640235_at
FBgn0037377,1639168_at
FBgn0035165,1626382_s_at
FBgn0036627,1639276_at
FBgn0031893,1638605_at
FBgn0032523,1635602_at
FBgn0030871,1632576_at
FBgn0031176,1640157_at
FBgn0032264,1624505_at
FBgn0033356,1637300_at
FBgn0000042,1626163_s_at
FBgn0039472,1629308_at
FBgn0029696,1631343_at
FBgn0003114,1632814_at
FBgn0032082,1638462_at
FBgn0038299,1636946_at
FBgn0052642,1627195_at
FBgn0029512,1629655_at
FBgn0031406,1627542_at
FBgn0031636,1637632_at
FBgn0038236,1634662_at
FBgn0005391,1623655_at
FBgn0030005,1631576_at
FBgn0000320,1623206_a_at
FBgn0035593,1626751_at
FBgn0000083,1626707_a_at
FBgn0000083,1640324_at
FBgn0039470,1632215_at
FBgn0035710,1633553_s_at
FBgn0031848,1624160_at
FBgn0035158,1629940_at
FBgn0037718,1641563_at
FBgn0035517,1636198_at
FBgn0011762,1633854_at
FBgn0260660,1632932_a_at
FBgn0013307,1635318_at
FBgn0002526,1641324_at
FBgn0017558,1629515_at
FBgn0052499,1636046_at
FBgn0044812,1639323_at
FBgn0262682,1630441_at
FBgn0260934,1641026_a_at
FBgn0028703,1624160_at
FBgn0036656,1625401_at
FBgn0027493,1640454_at
FBgn0039149,1630008_at
FBgn0032907,1624901_at
FBgn0030976,1628882_at
FBgn0039564,1627837_at
FBgn0023550,1637291_at
FBgn0086056,1625889_at
FBgn0040786,1633626_at
FBgn0010041,1634152_at
FBgn0031701,1623635_at
FBgn0015316,1636611_at
FBgn0037705,1633534_s_at
FBgn0039774,1639396_s_at
FBgn0034837,1630264_at
FBgn0038702,1639272_at
FBgn0030438,1633928_at
FBgn0040582,1628639_at
FBgn0039863,1641089_s_at
FBgn0033631,1622906_at
FBgn0034611,1622950_a_at
FBgn0266421,1634199_at
FBgn0004436,1630287_at
FBgn0267425,1627995_at
FBgn0010097,1639192_at
FBgn0043806,1629205_at
FBgn0032303,1626000_at
FBgn0040001,1629355_at
FBgn0052602,1637929_a_at
FBgn0086055,1625889_at
FBgn0266886,1635886_s_at
FBgn0259175,1640918_at
FBgn0035715,1636812_at
FBgn0029167,1628018_at
FBgn0031361,1630565_at
FBgn0027081,1640984_s_at
FBgn0041194,1624586_a_at
FBgn0014464,1637731_at
FBgn0014464,1633465_at
FBgn0264695,1635460_a_at
FBgn0003870,1636673_s_at
FBgn0001624,1627882_at
FBgn0052865,1634187_x_at
FBgn0020369,1639784_at
FBgn0004859,1623144_at
FBgn0036368,1631814_a_at
FBgn0033519,1635263_at
FBgn0044810,1625164_at
FBgn0032788,1637395_at
FBgn0031990,1624826_at
FBgn0040467,1628111_at
FBgn0032329,1627995_at
FBgn0031260,1636639_at
FBgn0033999,1634515_at
