Unique ID,CG Number,E01,E12,E14,E15,E16,E17,E18,E20,A82,A84,A95,A131,A186,A377,A384,A398,avg_E,avg_A,log2FC,submitted_id,FBgn_ID
INC058F11,CG10002,1.54834,1.05586,1.20538,1.10423,1.08078,1.32494,1,1.33121,1.27004,1.36654,1.07377,1.173,1.27107,1.21237,1.37759,1.24765,1.2063425,1.24900375,0.050138239,CG10002,FBgn0000659
INC061F06,CG10007,1.41644,1.52167,1.19337,1.52452,1.53621,1.47176,1.2637,1.62223,1.24437,1.22382,1,1.32178,1.28563,1.62784,1.57269,1.50882,1.4437375,1.34811875,-0.098860873,CG10007,FBgn0260744
INC036B02,CG10009,1.32886,1.26104,1.30242,1.45426,1.27844,1,1.3914,1.59416,1.32166,1.36098,1.741,1.04927,1.11634,1.21221,1.35476,1.19316,1.3263225,1.2936725,-0.035959177,CG10009,FBgn0026400
INC036B03,CG10014,1.0647,1.30144,1.10062,1.18343,1.15551,1.10249,1.15051,1,1.24362,1.13807,1.3891,1.08993,1.26234,1.17916,1.15783,1.01821,1.1323375,1.1847825,0.06531821,CG10014,FBgn0038000
INC061G09,CG10016,3.47005,2.54291,1.97702,1,3.11464,2.69322,2.10769,2.10847,1.79575,3.72023,2.18331,1.87457,2.93244,1.71501,2.38903,2.28772,2.37675,2.3622575,-0.008823925,CG10016,FBgn0024244
INC027F09,CG10033,1.58024,1.63043,1.50982,1.34815,1.34547,1.52431,1.6037,1.15903,1.24112,1.15442,1.21838,1.20802,1.46778,1,1.24232,1.24969,1.46264375,1.22271625,-0.258488778,CG10033,FBgn0000721
INC009H02,CG10037,1.13751,1.04855,1.18428,1.14185,1.09275,1.05998,1.01997,1.11927,1.04057,1.06369,1,1.17036,1.03217,1.09019,1.07706,1.05416,1.10052,1.066025,-0.045944092,CG10037,FBgn0086680
INC062F11,CG10043,1.94606,1.54444,2.12471,1.46151,1.79074,1.58271,1.83908,1.98683,1.48488,1,2.27091,1.64419,1.43396,2.84453,1.17428,1.14266,1.78451,1.62442625,-0.13559774,CG10043,FBgn0015803
INC062F01,CG10045,1.14591,1.81576,1.43391,1.15639,1.36829,1.61117,1.03185,1.22626,1.41481,1.1872,1.39508,1.19124,1.80899,1,2.34307,1.51249,1.3486925,1.48161,0.135604288,CG10045,FBgn0001149
INC156F01,CG10051,1.16041,1.18449,1.59447,1.51709,1,1.0642,1.62681,1.22745,1.41165,1.15197,1.34007,1.90358,1.18875,1.48588,1.20135,1.19976,1.296865,1.36037625,0.068977417,CG10051,FBgn0034437
INC016C09,CG10052,1,1.30587,1.25543,1.52684,1.36743,1.35251,1.32496,1.26082,1.48677,1.6133,1.48077,1.82915,1.49591,1.24374,1.59884,1.34496,1.2992325,1.51168,0.218493148,CG10052,FBgn0020617
INC036F01,CG10053,1,1.50788,1.40695,1.51556,1.43765,1.38045,1.54735,1.57303,1.38816,1.00938,1.66937,1.24312,1.72085,1.17718,1.2664,1.20637,1.42110875,1.33510375,-0.090065104,CG10053,FBgn0037490
INC066C05,CG10055,1.29667,1.56588,1.67508,1.08473,1.2956,1.27502,1.47172,1.1072,1,1.26003,1.41788,1.05714,1.22075,1.37138,1.12857,1.32669,1.3464875,1.222805,-0.13900648,CG10055,FBgn0037482
INC066D05,CG10060,1.98918,3.28691,1.11709,1.08682,1,2.22515,1.97212,2.05832,2.18043,2.10719,1.4559,2.81063,2.05956,1.52607,2.21991,1.53408,1.84194875,1.98672125,0.109156546,CG10060,FBgn0001104
INC066E04,CG10064,1,1.12372,1.36806,1.20884,1.22263,1.41749,1.52082,1.14948,1.1655,1.20722,1.32057,1.413,1.14436,1.61593,1.35169,1.11074,1.25138,1.29112625,0.045110127,CG10064,FBgn0035724
INC139F07,CG10067,1.45742,1,1.24444,1.06458,1.3182,1.30455,1.48171,2.41014,1.57652,1.47425,1.37859,1.20895,1.29179,1.7223,1.29002,1.94581,1.41013,1.48602875,0.075633857,CG10067,FBgn0000044
INC071H02,CG1007,1.4477,1.42507,1.17907,1.01885,1.26028,1.1044,1.22368,1.3155,1.19159,1.2435,1,1.15838,1.62338,1.10655,1.31043,1.22203,1.24681875,1.2319825,-0.017269993,CG1007,FBgn0000575
INC139B01,CG10071,1.05396,1.59622,1.51221,1.83671,1.40834,1.2216,1.87549,1.39426,1.75802,1.35444,1,1.27214,1.16141,1.96794,1.60886,2.04969,1.48734875,1.5215625,0.032810629,CG10071,FBgn0016726
INC014B08,CG10076,1.13017,1.13022,1.16278,1.24675,1.10676,1.49857,1.11726,1.21853,1.11395,1.12949,1,1.25386,1.14079,1.22865,1.22322,1.16929,1.20138,1.15740625,-0.053797212,CG10076,FBgn0003475
INC014E09,CG10077,1.31618,1.32579,1.31448,1.18409,1.2814,1.21345,1.26301,1.26621,1.17365,1.18325,1,1.26012,1.1785,1.25186,1.28195,1.15975,1.27057625,1.186135,-0.099214738,CG10077,FBgn0035720
INC133A05,CG10078,1,1.4857,1.15977,2.02925,1.35101,2.02349,1.00245,1.76351,1.48426,1.61649,1.54957,1.34898,1.77646,1.00049,1.63552,1.51,1.4768975,1.49022125,0.012956837,CG10078,FBgn0041194
INC067B09,CG10082,1.11242,1.37962,1.33628,1.21125,1.44923,1.2659,1.38927,1.23785,1.21748,1.08442,1.32074,1.37824,1.15082,1.17832,1,1.15301,1.2977275,1.18537875,-0.130639374,CG10082,FBgn0034644
INC019E12,CG10084,1,1.22156,1.07535,1.00023,1.1955,1.18573,1.87254,1.56237,1.77808,1.32767,1.72118,1.0546,1.26243,1.35583,1.05958,1.2228,1.26416,1.34777125,0.092396585,CG10084,FBgn0002044
INC067D05,CG10086,1,1.10473,1.34536,1.30814,1.33715,1.26095,1.14505,1.11772,1.46042,1.24705,1.5897,1.032,1.47217,1.20986,1.06865,1.13444,1.2023875,1.27678625,0.086615104,CG10086,FBgn0037517
INC072A07,CG1009,1.73182,1.57589,1.43165,1.46249,1.75486,1.36617,1.49892,1.50529,1.22263,1.87092,1.20694,1.38679,1.31,1.29119,1.17698,1,1.54088625,1.30818125,-0.236197923,CG1009,FBgn0261243
INC062H01,CG10090,1.10037,1.24387,2.42352,2.0765,1,1.14049,2.05711,1.33017,2.12055,1.37352,1.46963,2.09284,1.68902,2.54928,1.83937,1.78452,1.54650375,1.86484125,0.27004249,CG10090,FBgn0038018
INC062F04,CG10091,1,1.36301,1.23471,1.40447,1.44015,1.40058,1.38434,1.59658,2.22442,1.44301,1.54634,1.29189,1.44573,1.68777,1.17423,2.54509,1.35298,1.66981,0.303543441,CG10091,FBgn0038020
INC022G08,CG10095,2.56403,4.64009,4.54631,1.64399,3.13039,3.40967,2.94767,3.37603,2.90839,1.37573,1.69344,1.34141,3.32096,1,1.93209,2.58012,3.2822725,2.0190175,-0.701041603,CG10095,FBgn0037993
INC114H12,CG10102,3.41938,1,1.79431,1.93462,1.01484,4.64707,2.65364,2.86473,2.53698,1.65141,1.36018,2.65052,4.03852,2.45109,3.1074,1.90332,2.41607375,2.4624275,0.027416755,CG10102,FBgn0033927
INC072A09,CG10103,1,1.18877,1.1673,1.14984,1.58358,1.51102,1.23452,1.44905,1.24611,1.3851,1.00048,1.66126,1.38254,1.51914,1.29266,1.16756,1.28551,1.33185625,0.051097545,CG10103,FBgn0035715
INC124F04,CG10106,1.16456,1.15535,1.14051,1.1162,1.33161,1.37133,1.34201,1.15764,1.21099,1.21434,1,1.04792,1.35482,1.00033,1.22493,1.40766,1.22240125,1.18262375,-0.047726768,CG10106,FBgn0029506
INC040E08,CG10108,1.07225,1.30735,1.8667,1.56541,1.22606,1.35761,1.12021,1.24032,1.31146,1,1.38474,1.24392,1.64957,1.39472,1.44205,1.16639,1.34448875,1.32410625,-0.022038791,CG10108,FBgn0013725
INC072D09,CG10109,1.48793,1.32138,1.45835,1.40188,1.36535,1.34936,1.36972,1.47111,1.22246,1.13226,1,1.34045,1.15722,1.21497,1.29917,1.2042,1.403135,1.19634125,-0.230024852,CG10109,FBgn0267824
INC127G01,CG10113,1.73907,1.5362,1.17935,1.22465,3.02897,1.80999,1.68824,1,1.36177,3.03139,2.08059,1.29127,1.78709,1.69554,1.91438,2.60565,1.65080875,1.97096,0.255725507,CG10113,FBgn0037502
INC072F05,CG10118,1,1.56572,1.25955,1.19088,1.71466,2.01261,1.82746,1.31104,1.31397,2.12206,1.36832,1.47352,1.74848,1.6496,1.17702,1.27209,1.48524,1.5156325,0.029223906,CG10118,FBgn0005626
INC075G06,CG10120,1.77166,2.98219,2.91104,3.11055,3.01131,1.79468,2.43349,2.68335,1.15134,1.44434,1,1.22918,1.29509,1.40196,1.97628,1.21942,2.58728375,1.33970125,-0.949526965,CG10120,FBgn0002719
INC138D03,CG10126,1.43789,1.67587,1.86539,1.76691,1.43334,1.46701,1.66664,1.40079,1.73307,1,2.09923,1.40425,1.72686,1.50659,1.47791,1.57295,1.58923,1.5651075,-0.02206618,CG10126,FBgn0038088
INC017A09,CG10130,1.22577,1,1.087,1.21471,1.29526,1.23738,1.14232,1.52194,1.3364,1.24229,1.10395,1.10798,1.16823,1.2796,1.07971,1.24955,1.2155475,1.19596375,-0.023432609,CG10130,FBgn0010638
INC017C06,CG10139,2.29068,2.18023,2.83236,1.54181,1.53541,1.99814,2.11617,2.40362,2.18545,2.37983,1.52469,1.09085,1.27659,1,2.10899,1.66978,2.1123025,1.6545225,-0.352401545,CG10139,FBgn0033951
INC023D07,CG1014,1.83396,1.73196,1.92098,1.90434,1.93437,1.71982,2.08618,1,2.10601,2.05957,2.59245,1.51892,2.12548,1.64528,1.69161,1.57227,1.76645125,1.91394875,0.115698264,CG1014,FBgn0028567
INC026E06,CG10143,1.06622,2.05944,1.22641,1.24438,1.55349,1.47961,1.25521,1.12465,1.62585,1.14013,1.75107,1.2312,1.22991,1.1603,1,1.15434,1.37617625,1.2866,-0.097101657,CG10143,FBgn0033952
INC017C10,CG10145,1.29664,1.56961,1.4532,1.1577,1,1.3229,1.39307,1.27254,1.5506,1.15647,1.07269,1.11627,1.17861,1.04929,1.31249,1.57078,1.3082075,1.2509,-0.064624929,CG10145,FBgn0020269
INC112H07,CG10146,1.42319,1.50325,1.38789,1.48032,1.52389,1.26466,1.25743,1.58585,1.09221,1.16447,1.18024,1.11521,1.24514,1,1.15395,1.17606,1.42831,1.14091,-0.324124145,CG10146,FBgn0012042
INC048A05,CG10149,1.44744,1.29133,1.22372,1.20618,1.219,1.11369,1.14272,1.20226,1.07983,1.24553,1.2741,1.17093,1.24282,1.03411,1.31252,1,1.2307925,1.16998,-0.073103689,CG10149,FBgn0028689
INC147F08,CG10153,1.68997,1.16836,1.71334,1.19938,1,1.5782,1.68911,1.26973,1.29092,1.96561,1.06716,1.28889,1.48079,1.24685,1.29804,1.19124,1.41351125,1.3536875,-0.062388636,CG10153,FBgn0266723
INC017D12,CG10155,1.11799,1,1.40272,1.4108,1.26831,1.34589,1.28919,1.43052,1.49908,1.4055,1.4809,1.45307,1.04244,1.46655,1.12057,1.32644,1.2831775,1.34931875,0.072510447,CG10155,FBgn0020767
INC076F12,CG10158,1.18094,1.19721,1.19045,1.288,1.05981,1,1.27866,1.44856,1.35281,1.49958,1.87879,1.08929,1.37369,1.20967,1.33448,1.24233,1.20545375,1.37258,0.187313939,CG10158,FBgn0031871
INC076H10,CG10159,1.82417,1.73376,1.79217,1,1.89936,1.23574,1.16162,1.06369,1.3581,1.1685,1.86703,1.03176,1.66743,1.39431,1.93296,2.14934,1.46381375,1.57117875,0.10211532,CG10159,FBgn0015602
INC116B03,CG10160,1.23871,1.48491,1.27895,1.63676,1.11286,1.52201,1.97681,1.39158,1,1.35009,1.10797,1.17512,1.22642,1.58874,1.07862,1.55133,1.45532375,1.25978625,-0.208161159,CG10160,FBgn0001258
INC076H08,CG10161,1.35672,1.24046,1,1.11851,1.24653,1.45468,1.2478,1.1858,1.11407,1.21374,1.02385,1.18497,1.22286,1.44324,1.30062,1.16143,1.2313125,1.2080975,-0.027460063,CG10161,FBgn0040227
INC077B04,CG10164,1.558,1.25559,1.32479,1.3027,1.29422,1.10049,1.66429,1,1.52337,1.26473,1.59209,1.42199,1.46245,1.40768,1.0688,1.15049,1.31251,1.36145,0.052815585,CG10164,FBgn0039088
INC027B09,CG10173,1.77321,1.52227,1.57089,1.56368,1.61871,1.67564,1.41459,1.48942,1.35508,1.66798,1,1.32443,1.97521,1.35019,1.48369,1.43133,1.57855125,1.44848875,-0.124052621,CG10173,FBgn0035696
INC080B05,CG10177,2.07353,1.38858,1.61321,1.33374,1.26322,1,1.39231,1.33186,1.61439,1.62256,1.75478,1.40524,1.43622,1.33744,1.48158,1.2496,1.42455625,1.48772625,0.062596498,CG10177,FBgn0039083
INC124F07,CG10184,1.40497,1.88259,1,1.98049,1.9726,1.74009,1.8686,1.35559,1.92135,2.68527,2.38397,1.89107,2.39191,1.73672,2.60482,1.87653,1.65061625,2.186455,0.405588908,CG10184,FBgn0039094
INC080F01,CG10186,1.13547,1.05665,1.12195,1.02362,1.23589,1.21251,1.16936,1.07606,1.09619,1.11002,1,1.05275,1.2233,1.1864,1.22791,1.04619,1.12893875,1.117845,-0.014247057,CG10186,FBgn0032797
INC072F07,CG1019,1.53348,1.23779,1.30131,1.59351,1.72208,1.52547,1.5244,1,1.57379,1.5248,1.5841,2.108,1.39852,1.82618,1.905,1.83503,1.429755,1.7194275,0.266160335,CG1019,FBgn0014863
INC155G07,CG10191,1.62503,1.08508,1.69123,1.79402,1.00486,1,1.37572,1.9676,2.05241,1.17158,2.1285,1.09177,1.69067,1.59118,1.53493,1.39197,1.4429425,1.58162625,0.13239491,CG10191,FBgn0036354
INC081A08,CG10192,1.16882,1.36368,1.50161,1.19891,1.26617,1.40062,1.19383,1.31517,1.15527,1,1.08465,1.0329,1.12561,1.14004,1.34219,1.11479,1.30110125,1.12443125,-0.210537781,CG10192,FBgn0260634
INC085F11,CG10207,1,1.54757,1.7253,1.56975,1.99481,1.29244,1.049,1.32817,1.07014,1.17262,1.43764,1.72916,1.01238,1.18242,1.14272,1.87699,1.43838,1.32800875,-0.115180214,CG10207,FBgn0016684
INC072F06,CG1021,1.47013,1.47269,1.58305,1.60144,1.72556,1.49014,1.63015,1.47174,1.48409,1.5959,1,1.66627,1.28358,1.42742,1.05002,1.50451,1.5556125,1.37647375,-0.176505635,CG1021,FBgn0037443
INC033E08,CG10221,1.21418,1.1747,1,1.72029,1.53306,1.70115,1.51333,1.28807,1.4408,1.46277,1.29118,1.41014,1.11349,1.26244,1.0711,1.44022,1.3930975,1.3115175,-0.087059175,CG10221,FBgn0028475
INC033F02,CG10225,1.29103,1.21201,1.38865,1.27877,1.13485,1.49358,1.30192,1.55807,1.57848,1.114,1.52269,1,1.54327,1.22726,1.24927,1.01982,1.33236,1.28184875,-0.055757904,CG10225,FBgn0039110
INC086B09,CG10228,1.33939,1.95092,1.48885,1.24711,1.28195,1.53517,1.46763,1.67746,1.18021,1.24143,1,1.58137,1.42025,1.37079,1.41992,1.34024,1.49856,1.31927625,-0.183830159,CG10228,FBgn0264962
INC086C10,CG10229,1.28837,1.36129,1.94266,1.27666,1.43063,1.57725,1,1.65378,1.82717,1.66998,1.50973,1.13636,1.80586,1.34381,2.20257,2.34178,1.44133,1.7296575,0.263085703,CG10229,FBgn0040208
INC065A01,CG10230,1.03459,1.71852,1.94335,1.4355,1.68563,1.34927,2.10167,2.17936,1.27371,1.31877,1.42408,1,1.17428,1.46839,1.61219,1.83319,1.68098625,1.38807625,-0.276221103,CG10230,FBgn0028691
INC020C04,CG10237,1.22764,1.95622,1.13854,1.32138,1.40834,1.61613,1.59261,1.52996,1.29991,1.5586,1,1.36568,1.52251,1.63927,1.40193,1.21676,1.4738525,1.3755825,-0.099549483,CG10237,FBgn0032783
INC086F06,CG10245,3.1879,3.83584,1,3.46554,3.40719,3.43824,2.93359,4.58416,4.26035,3.55511,3.59014,5.52804,3.67873,6.15363,3.18506,3.57722,3.2315575,4.191035,0.375076908,CG10245,FBgn0033980
INC129C07,CG10252,1.22241,1.06282,1.27642,1.30485,1.25663,1,1.32709,1.05783,1.52112,1.32636,2.20045,1.31596,1.35845,1.09658,1.1099,1.23505,1.18850625,1.39548375,0.231615835,CG10252,FBgn0039104
INC070C09,CG10254,1.2019,1.28545,1.48179,1.88937,1.15539,1.08361,1.57547,1.94243,1.62418,1.32108,2.33015,1.28149,1,1.34011,1.4822,1.40972,1.45192625,1.47361625,0.021392702,CG10254,FBgn0027512
INC023D06,CG10260,1.15429,1,1.12221,1.04747,1.37499,1.17528,1.07587,1.11995,1.23814,1.28288,1.0604,1.01037,1.00972,1.22619,1.41437,1.23598,1.1337575,1.18475625,0.063478177,CG10260,FBgn0267350
INC037A04,CG10261,1.92041,1.47858,1.62176,1.9219,2.40754,1.49208,1.1859,1.60625,1.96306,2.33253,1,1.87739,1.11391,1.28988,1.15526,1.73159,1.7043025,1.5579525,-0.129530177,CG10261,FBgn0261854
INC089G12,CG10265,1.30937,1.31635,1.54891,1.80614,1.212,1.07426,1.07364,1,1.719,1.27639,1.7713,1.42166,1.20579,1.52714,1.43187,1.9998,1.29258375,1.54411875,0.256525947,CG10265,FBgn0033990
INC037C06,CG10268,2.11877,1.71753,1.95573,1.87707,2.58731,1.98387,2.5445,2.47044,2.52988,1.65574,1,3.40149,1.9461,3.05413,1.62252,2.27644,2.1569025,2.1857875,0.019192188,CG10268,FBgn0032811
INC143C02,CG10279,2.34046,1.83527,2.12221,2.3102,2.2504,2.13709,1.93359,2.18162,1.68111,2.52319,1,1.52191,1.35244,1.69069,1.70624,1.53529,2.138855,1.62635875,-0.395193152,CG10279,FBgn0003261
INC093C08,CG10289,1.22029,1.85328,2.27667,1.27034,1.11691,1.91103,2.0536,1.81746,1.30486,2.25839,1.4063,1.37316,1.47007,1.71609,1.64224,1,1.6899475,1.52138875,-0.151589586,CG10289,FBgn0035688
INC033B02,CG10295,1.16759,1.23831,1.77521,1.37532,1.33906,1.43502,1.29581,1.20729,1.65475,1.26832,1.77657,1,1.46915,1.23656,1.34072,1.43831,1.35420125,1.3980475,0.045971222,CG10295,FBgn0267698
INC033B11,CG10298,1.37112,1.13014,1.49535,1.32408,1.28454,1.30781,1.35736,1.28977,1.53143,1.26144,1.63378,1,1.58671,1.34476,1.16915,1.64201,1.32002125,1.39616,0.080903129,CG10298,FBgn0037432
INC073B01,CG1030,1.48571,1.15812,1,1.15374,1.51457,1.14958,1.33173,1.48852,1.30261,1.03557,1.14454,1.30407,1.1273,1.30742,1.47155,1.46061,1.28524625,1.26920875,-0.01811543,CG1030,FBgn0003339
INC033E06,CG10305,1,1.09106,1.10194,1.01327,1.15628,1.05613,1.03629,1.23619,1.16399,1.1146,1.33054,1.11468,1.18719,1.27507,1.10109,1.0591,1.086395,1.1682825,0.104840427,CG10305,FBgn0261597
INC077E10,CG10306,1.14264,1.05053,1.02009,1,1.25313,1.25875,1.12361,1.21609,1.51392,1.28119,1.49744,1.21988,1.40393,1.21699,1.23578,1.38014,1.133105,1.34365875,0.245885227,CG10306,FBgn0034654
INC093G06,CG10307,1.42724,1.46735,1.41514,1.06239,1.55576,1.35117,1.00857,1,1.07656,1.03694,1.63989,1.28165,1.1481,1.19255,1.15921,1.20541,1.2859525,1.21753875,-0.078869665,CG10307,FBgn0034655
INC072E10,CG1031,1.46707,1.67454,1.31693,1.19828,1.54709,1.63071,1.01947,1.45013,1.181,1.62722,1,1.10243,1.60595,1.05057,1.6195,1.85732,1.4130275,1.38049875,-0.033599962,CG1031,FBgn0015568
INC152B11,CG10311,1.15324,1.6659,2.35765,1.60488,1.27916,1.66422,1.33228,1.13215,1.19696,1.17623,1,1.04961,1.58653,1.57444,1.60329,1.29293,1.523685,1.30999875,-0.217999242,CG10311,FBgn0038420
